,name,label
0,Afghanistan,0
1,Albania,1
2,Algeria,2
3,Andorra,3
4,Angola,4
5,Anguilla,5
6,Antigua_and_Barbuda,6
7,Argentina,7
8,Armenia,8
9,Aruba,9
10,Australia,10
11,Austria,11
12,Azerbaijan,12
13,Bahamas,13
14,Bahrain,14
15,Bangladesh,15
16,Barbados,16
17,Belarus,17
18,Belgium,18
19,Belize,19
20,Benin,20
21,Bermuda,21
22,Bhutan,22
23,Bolivia,23
24,Bosnia_and_Herzegovina,24
25,Botswana,25
26,Brazil,26
27,British_Virgin_Islands,27
28,Bulgaria,28
29,Burkina_Faso,29
30,Burundi,30
31,Cabo_Verde,31
32,Cambodia,32
33,Cameroon,33
34,Canada,34
35,Cayman_Islands,35
36,Central_African_Republic,36
37,Chad,37
38,Chile,38
39,China_PR,39
40,Colombia,40
41,Comoros,41
42,Congo,42
43,Congo_DR,43
44,Cook_Islands,44
45,Costa_Rica,45
46,Croatia,46
47,Cuba,47
48,Curaçao,48
49,Cyprus,49
50,Czech_Republic,50
51,Czechoslovakia,51
52,Côte_d'Ivoire,52
53,Denmark,53
54,Djibouti,54
55,Dominica,55
56,Dominican_Republic,56
57,Ecuador,57
58,Egypt,58
59,El_Salvador,59
60,England,60
61,Equatorial_Guinea,61
62,Eritrea,62
63,Estonia,63
64,Ethiopia,64
65,Faroe_Islands,65
66,Fiji,66
67,Finland,67
68,France,68
69,Gabon,69
70,Gambia,70
71,Georgia,71
72,Germany,72
73,Ghana,73
74,Gibraltar,74
75,Greece,75
76,Grenada,76
77,Guam,77
78,Guatemala,78
79,Guinea,79
80,Guinea-Bissau,80
81,Guyana,81
82,Haiti,82
83,Honduras,83
84,Hong_Kong,84
85,Hungary,85
86,IR_Iran,86
87,Iceland,87
88,India,88
89,Indonesia,89
90,Iraq,90
91,Israel,91
92,Italy,92
93,Jamaica,93
94,Japan,94
95,Jordan,95
96,Kazakhstan,96
97,Kenya,97
98,Korea_DPR,98
99,Korea_Republic,99
100,Kosovo,100
101,Kuwait,101
102,Laos,102
103,Latvia,103
104,Lebanon,104
105,Lesotho,105
106,Liberia,106
107,Libya,107
108,Liechtenstein,108
109,Lithuania,109
110,Luxembourg,110
111,Macau,111
112,Madagascar,112
113,Malawi,113
114,Malaysia,114
115,Maldives,115
116,Mali,116
117,Malta,117
118,Mauritania,118
119,Mauritius,119
120,Mexico,120
121,Moldova,121
122,Mongolia,122
123,Montenegro,123
124,Montserrat,124
125,Morocco,125
126,Mozambique,126
127,Myanmar,127
128,Namibia,128
129,Nepal,129
130,Netherlands,130
131,New_Caledonia,131
132,New_Zealand,132
133,Nicaragua,133
134,Niger,134
135,Nigeria,135
136,North_Macedonia,136
137,Northern_Ireland,137
138,Norway,138
139,Oman,139
140,Pakistan,140
141,Palestine,141
142,Panama,142
143,Papua_New_Guinea,143
144,Paraguay,144
145,Peru,145
146,Philippines,146
147,Poland,147
148,Portugal,148
149,Puerto_Rico,149
150,Qatar,150
151,Republic_of_Ireland,151
152,Romania,152
153,Russia,153
154,Rwanda,154
155,Samoa,155
156,San_Marino,156
157,Saudi_Arabia,157
158,Scotland,158
159,Senegal,159
160,Serbia,160
161,Seychelles,161
162,Sierra_Leone,162
163,Singapore,163
164,Slovakia,164
165,Slovenia,165
166,Solomon_Islands,166
167,Somalia,167
168,South_Africa,168
169,South_Sudan,169
170,Spain,170
171,Sri_Lanka,171
172,St._Kitts_and_Nevis,172
173,St._Lucia,173
174,St._Vincent_/_Grenadines,174
175,Sudan,175
176,Suriname,176
177,Sweden,177
178,Switzerland,178
179,Syria,179
180,São_Tomé_and_Príncipe,180
181,Tahiti,181
182,Tajikistan,182
183,Tanzania,183
184,Thailand,184
185,Togo,185
186,Tonga,186
187,Trinidad_and_Tobago,187
188,Tunisia,188
189,Turkey,189
190,Turkmenistan,190
191,Turks_and_Caicos_Islands,191
192,USA,192
193,US_Virgin_Islands,193
194,Uganda,194
195,Ukraine,195
196,United_Arab_Emirates,196
197,Uruguay,197
198,Uzbekistan,198
199,Vanuatu,199
200,Venezuela,200
201,Vietnam,201
202,Wales,202
203,Yemen,203
204,Yugoslavia,204
205,Zambia,205
206,Zimbabwe,206
